N,Triton,Torch (native),Torch (compiled)
256.000000,151.703703,154.566038,151.703703
384.000000,153.600004,155.544308,144.564706
512.000000,156.038096,156.038096,157.538463
640.000000,161.259834,161.259834,161.259834
768.000000,155.544308,159.584422,157.538467
896.000000,160.178775,162.909090,159.941427
1024.000000,160.627454,162.293142,161.418717
1152.000000,160.978168,163.115042,158.896548
1280.000000,160.627456,163.839992,160.627456
1408.000000,162.071947,163.246373,160.914281
1536.000000,162.754967,163.839992,162.754967
1664.000000,163.306117,164.345682,163.887271
1792.000000,162.836804,165.182104,165.256487
1920.000000,163.949299,165.161286,165.161286
2048.000000,163.431422,164.250622,163.808003
2176.000000,165.078087,165.396673,164.614661
2304.000000,165.309420,164.939598,165.680894
2432.000000,165.231420,165.582979,166.035598
2560.000000,165.494954,165.161293,166.504058
2688.000000,166.054058,166.748170,167.021352
2816.000000,167.324337,167.183682,168.404128
2944.000000,167.332155,167.919353,169.134652
3072.000000,164.663315,166.868843,167.468487
3200.000000,166.233773,167.047305,167.868856
3328.000000,166.888933,167.446538,167.710235
3456.000000,166.554219,167.413031,167.817903
3584.000000,165.211854,167.672508,167.168443
3712.000000,165.668064,168.487940,166.364140
3840.000000,165.829960,168.559666,167.183671
3968.000000,165.981698,168.274153,166.198954
4096.000000,165.078087,166.970704,165.286258
4224.000000,166.258298,167.702228,166.054048
4352.000000,167.428637,168.193233,167.586044
4480.000000,167.004126,168.065655,168.065655
4608.000000,165.867263,166.100815,167.468482
4736.000000,166.540659,168.017738,168.578425
4864.000000,167.724134,167.905067,168.632722
4992.000000,167.798324,167.784547,169.041274
5120.000000,167.868856,168.041030,168.725122
5248.000000,167.935992,167.935992,168.272540
5376.000000,168.493638,168.824344,167.836097
5504.000000,169.028788,168.704975,168.221576
5632.000000,168.591208,167.962718,167.338896
5760.000000,169.489653,167.704188,167.411444
5888.000000,169.591365,167.779155,167.480896
6016.000000,169.315737,167.986039,167.839581
6144.000000,169.773223,168.041034,167.897530
6272.000000,169.513506,168.100389,167.672510
6400.000000,170.524570,167.662711,168.144505
6528.000000,169.972329,168.362689,167.787945
6656.000000,170.121407,168.107342,168.240129
6784.000000,170.398739,168.154912,169.426265
6912.000000,170.535083,168.256738,169.749805
7040.000000,170.408465,168.508439,170.072779
7168.000000,170.603199,169.156347,170.034096
7296.000000,170.854001,168.937766,170.107107
7424.000000,170.912231,169.087546,169.922795
7552.000000,170.666672,168.995811,169.707863
7680.000000,170.396718,169.139710,168.675356
7808.000000,170.900142,169.039354,168.471234
7936.000000,170.489435,169.132198,170.666662
8064.000000,171.802926,168.940051,166.913323
8192.000000,170.777845,168.907223,168.256741
8320.000000,168.186992,169.904269,170.141790
8448.000000,168.433645,169.383454,170.451453
8576.000000,169.477662,169.507104,167.475401
8704.000000,168.498486,168.396612,167.925472
8832.000000,169.438848,168.479288,167.928698
8960.000000,169.356176,169.256201,168.956983
9088.000000,169.869159,168.296296,168.488254
9216.000000,170.272514,169.489657,168.979806
9344.000000,169.987492,169.122176,170.764140
9472.000000,170.187530,168.954288,169.048519
9600.000000,170.005532,169.384521,168.976899
9728.000000,170.796875,168.632722,166.870008
9856.000000,170.436098,169.238606,169.748121
9984.000000,170.623943,169.086006,169.895241
10112.000000,170.207979,169.865946,169.504454
10240.000000,170.090838,169.261668,169.527107
10368.000000,170.930449,169.532959,169.362573
10496.000000,170.840279,169.546698,169.034726
10624.000000,171.096125,169.729416,170.069027
10752.000000,170.666668,169.156351,169.322826
10880.000000,170.918024,169.500830,170.000000
11008.000000,171.164231,168.785812,169.476055
11136.000000,170.707549,168.887204,168.758489
11264.000000,171.274900,168.394291,169.902411
11392.000000,171.107249,168.614251,169.279778
11520.000000,171.700043,169.256194,169.880185
11648.000000,171.530602,168.888080,168.890468
11776.000000,171.599275,169.134652,170.666663
11904.000000,171.821389,168.928284,169.527361
12032.000000,171.885710,169.315737,169.464783
12160.000000,171.872791,169.144678,168.632703
12288.000000,170.926325,169.562745,168.358042
12416.000000,172.108295,170.002581,169.537868
12544.000000,171.872406,168.942766,169.334739
12672.000000,172.298271,168.433641,167.980117
